t,x,y,ang,vx,vy,omega,thrust,torque
0.0,-3.0,0.0,6.283185307179586,0.0,0.0,0.0,145.3254230143484,-43.69488187884791
0.0025,-2.9999999999045976,1.4783034452904651e-05,6.283172713545139,1.5249911134527752e-07,0.011823964235640378,-0.010070646897064795,145.32966696578794,-43.562101543676036
0.005,-2.9999999984759893,5.910883791549727e-05,6.283135013490996,1.2184065958003072e-06,0.023634218057390122,-0.02008515950601389,145.3371292951844,-43.39434487399651
0.0075,-2.999999992294375,0.0001329441610049184,6.283072357255705,4.105664079063553e-06,0.035431582598580924,-0.030035618914948152,145.3475480479378,-43.192577682825984
0.01,-2.9999999756783344,0.00023625772390633318,6.282984914571623,9.715518270689607e-06,0.04721681238306427,-0.03991434888560949,145.36068397402605,-42.957737812646904
0.0125,-2.9999999407023115,0.00036902005696283415,6.282872874067064,1.8941926117002647e-05,0.05899060101519426,-0.04971390879159132,145.3763185707706,-42.6907360895463
0.015,-2.999999877215576,0.0005312033548722475,6.282736442685803,3.2670967680530464e-05,0.07075358637550802,-0.05942708679435902,145.39425229610936,-42.39245724735099
0.0175,-2.9999997728626413,0.0007227813433093929,6.282575845123347,5.178026783116428e-05,0.08250635536553719,-0.06904689324956234,145.4143029373782,-42.06376082245383
0.02,-2.999999613105117,0.0009437291568961615,6.282391323279426,7.713842765882577e-05,0.09424944824137063,-0.07856655433630094,145.43630412191513,-41.70548202003746
0.0225,-2.999999381244969,0.0011940232275364782,6.282183135726122,0.0001096044663627509,0.10598336257210761,-0.0879795059021855,145.46010395700483,-41.31843255240119
0.025,-2.9999990584491596,0.0014736411822195883,6.281951557191138,0.0001500272742361033,0.1177085568561646,-0.0972793875172179,145.48556378777553,-40.90340145011215
0.0275,-2.9999986237756455,0.0017825617494738942,6.2816968780556754,0.00019924507724389405,0.1294254538255003,-0.10646003672969746,145.51255706266076,-40.4611558467076
0.03,-2.999998054200693,0.0021207646737254207,6.281419403866425,0.0002580849135867605,0.14113444346517817,-0.11551548351754554,145.54096829695246,-39.99244173765169
