t,x,y,ang,vx,vy,omega,thrust,torque
0.0,-1.0,0.0,0.0,0.0,0.0,0.0,30.988653566111815,-15.301995026171419
0.0025,-0.9999999999928758,3.432523872265118e-06,-4.410304442632469e-06,1.138795941765567e-08,0.002745447129572985,-0.0035267514661439627,30.985004992327585,-15.292808378934875
0.005,-0.9999999998861878,1.3723237889438456e-05,-1.7623658606424467e-05,9.100128564318785e-08,0.005486553020176131,-0.007042444455516468,30.975020176954178,-15.280960321432449
0.0075,-0.9999999994244414,3.085931648148236e-05,-3.961168429386517e-05,3.067256265312734e-07,0.008221740021947309,-0.010546493611302863,30.959355831065828,-15.26652662466716
0.01,-0.9999999981829811,5.48241975503829e-05,-7.034456360975612e-05,7.259962456506012e-07,0.01094959652748096,-0.014038332524151457,30.93860972180571,-15.249580841163212
0.0125,-0.9999999955692072,8.559797890246209e-05,-0.00010979108563039306,1.4157265317143046e-06,0.013668862035881184,-0.017517413172829704,30.913325853912415,-15.230194385564115
0.015,-0.9999999908239552,0.00012315777898274494,-0.00015791869169939134,2.4422486823985293e-06,0.016378413530079454,-0.02098320538487444,30.88399919734154,-15.208436610389857
0.0175,-0.9999999830230113,0.00016747806505071014,-0.00021469351939868144,3.871264931513076e-06,0.01907725305237462,-0.024435196316069743,30.851080000717634,-15.184374877423847
0.02,-0.9999999710787375,0.00021853095166173779,-0.0002800804452404244,5.7678078884448845e-06,0.021764496373223193,-0.027872889947697477,30.814977726873998,-15.1580746251472
0.0225,-0.9999999537417862,0.0002762864720676267,-0.0003540431261230831,8.19620873558159e-06,0.024439362657497115,-0.03129580660060444,30.776064643564695,-15.129599432589051
0.025,-0.9999999296028856,0.00034071282492057983,-0.00043654403959260526,1.1220072185607099e-05,0.027101165040811254,-0.03470348246521747,30.73467909953761,-15.09901107991984
0.0275,-0.999999897094681,0.00041177659845612855,-0.0005275445229475976,1.4902257238438579e-05,0.02974930203617397,-0.03809546914671544,30.69112851351487,-15.066369606077794
0.03,-0.999999854493617,0.0004894429741398277,-0.0006270048112254813,1.9304862899193292e-05,0.032383249698195726,-0.04147133322463585,30.64569210121619,-15.031733363684467
0.0325,-0.9999997999218506,0.000573675911588607,-0.0007348840741048883,2.4489218125762585e-05,0.035002554478461234,-0.044830655826254714,30.598623363360566,-14.99515907147684
0.035,-0.9999997313491853,0.0006644383164189435,-0.0008511404517579708,3.0515875368959958e-05,0.03760682671148353,-0.04817303221313239,30.550152355574067,-14.956701864458124
0.0375,-0.9999996465950164,0.000761692192529201,-0.0009757310896848406,3.744460715125432e-05,0.04019573467596273,-0.051498071380266214,30.50048775929978,-14.91641534194576
0.04,-0.9999995433302826,0.0008653987801913361,-0.0011086121725610103,4.533440520309358e-05,0.04276899918091195,-0.05480539566733328,30.4498187711344,-14.874351613676216
0.0425,-0.9999994190794166,0.0009755186812066013,-0.0012497389571274606,5.424348173992146e-05,0.045326388630629294,-0.05809464038154493,30.398316826490476,-14.83056134410766
0.045,-0.9999992712222902,0.0010920119722698613,-0.0013990658041518097,6.422927251921792e-05,0.04786771452652446,-0.06136545343166813,30.346137172092103,-14.785093795046617
0.0475,-0.9999990969961501,0.0012148383075867536,-0.0015565462094879808,7.53484413661655e-05,0.05039282736748559,-0.06461749497279909,30.293420300540976,-14.737996866711493
0.05,-0.999998893497541,0.0013439570116963375,-0.0017221328342607665,8.76568858996702e-05,0.05290161291382699,-0.06785043706150168,30.240293259032022,-14.689317137332578
0.0525,-0.9999986576842126,0.0014793271633683032,-0.0018957775342007448,0.0001012097442281696,0.055393988782919894,-0.07106396332094707,30.18687084323951,-14.639099901378643
0.055,-0.9999983863770093,0.0016209076713675592,-0.002077431388154125,0.00011606140241758215,0.057869901347401824,-0.07425776861571255,30.133256686430187,-14.587389206491236
0.0575,-0.9999980762617405,0.0017686573428094443,-0.002267044725791264,0.00013226550256245864,0.0603293229094089,-0.07743155873591744,30.079544252979545,-14.534227889198025
0.06,-0.9999977238910298,0.0019225349447653274,-0.0024645671545368212,0.00014987495131639416,0.06277224912660141,-0.08058505009039073,30.02581774466375,-14.479657609471504
0.0625,-0.9999973256861425,0.0020824992597204377,-0.0026699475857437606,0.00016894192875949334,0.06519869666787491,-0.08371796940858173,29.972152927367254,-14.42371888419118
0.065,-0.9999968779387912,0.0022485091354329206,-0.0028831342601327234,0.00018951789749954842,0.06760870107858549,-0.0868300534509386,29.918617885176673,-14.366451119562946
0.0675,-0.9999963768129176,0.0024205235296948942,-0.0031040747725176064,0.00021165361191993924,0.07000231483688497,-0.08992104872749308,29.865273708221686,-14.307892642544514
0.07,-0.9999958183464518,0.002598501550452285,-0.003332716095837554,0.00023539912750140742,0.0723796055843735,-0.09299071122440156,29.8121751200666,-14.24808073132005
0.0725,-0.9999951984530473,0.0027824024917000824,-0.003569004604514949,0.0002608038101570653,0.07474065451574834,-0.09603880613820298,29.75937104994809,-14.1870516448662
0.075,-0.9999945129237943,0.002972185865533026,-0.003812886097158418,0.000287916345530518,0.0770855549134699,-0.09906510761756489,29.706905082193963,-14.124840838385204
0.0775,-0.9999937574289081,0.0031678114306756718,-0.004064305818683107,0.00031678474814482,0.07941441079657756,-0.10206939855533641,29.65448435427628,-14.06233709519446
0.08,-0.9999929275198256,0.003369239114211286,-0.004323208728087605,0.0003474560236542545,0.08172725284818022,-0.10505166723852441,29.601864121148527,-14.000351458796658
0.0825,-0.999992018631748,0.003576428843386507,-0.0045895399888821724,0.00037997615319100645,0.08402405052852999,-0.108012088910363,29.549136744258913,-13.938863680286726
0.085,-0.9999910260857826,0.0037893404979502617,-0.004863245196293473,0.00041439043263019783,0.08630479637429646,-0.11095083370290384,29.496385449508935,-13.87785422722741
